course_name	course_title	course_description	course_subject	course_alternative_names
Ias 375	Professional Training: Teaching in IAS	This course is intended to prepare students from the various social science disciplines to be instructors in interdisciplinary/multi-departmental courses. It will serve as a forum to discuss problems and create innovative solutions to these problems. Focusing on course construction and operation, specialists from various disciplines will discuss strategies for moving outside of their areas of specialization and into broader areas of international and area studies. Graduate students will be provided training in building their own interdisciplinary courses from the ground up. Organizing syllabi, preparing lectures, devising written assignments, leading discussion sections, constructing evaluative mechanisms and grading them, will all be covered over the course of the semester. 	International & Area Stds	International & Area Stds 375 IAS375
Math 251	Ring Theory	Topics such as: Noetherian rings, rings with descending chain condition, theory of the radical, homological methods. 	Mathematics	Mathematics 251 MATH251
Pb hlth 269d	Ergonomics Seminar	Readings and lectures in occupational biomechanics. Topics to be covered are muscle, tendon, and joint biomechanics, material handling models, mechanisms of injury, hand tool design, and instrumentation issues. Students will prepare critical reviews of recent publications and design an engineering intervention to reduce work-related risk factors. 	Public Health	Public Health 269D PB HLTH269D
Linguis 245	Anthropological Linguistics	Graduate level survey of anthropological linguistics which seeks to understand the role of culture in linguistic meaning, language use, and the development of linguistic form and, conversely, the role of linguistic form and structure in social action and in cultural practices. 	Linguistics	Linguistics 245 LINGUIS245
Seasian 130	Articulations of the Female in Indonesia	This course examines the impact of the history of literacy and literature upon the ways in which perceptions and roles of women are constructed and reinforced in a developing non-Western society. Course material includes literature, oral and manuscript narratives, ritual performance. 	Southeast Asian	Southeast Asian 130 SEASIAN130
Music 258a	Sound and Music Computing with CNMAT Technologies	Explores the intersection of music and computers using a combination of scientific, technological, and artistic methodologies. Musical concerns within a computational frame are addressed through the acquisition of basic programming skills for the creation and control of digital sound. Will learn core concepts and techniques of computer-based music  composition using the Cycling74/MaxMSP programming environment in combination with associated software tools and programming approaches created by the Center for New Music and Audio Technologies. Included will be exposure to the essentials of digital audio signal processing, musical acoustics and psychoacoustics, sound analysis and synthesis. The course is hands-on & taught from the computer lab.	Music	Music 258A MUSIC258A
Ind eng 66	A Bivariate Introduction to IE and OR	This Freshman-level Introductory course will provide an intuitive overview of the fundamental problems addressed and methods in the fields of Industrial Engineering and Operations Research including Constrained Optimization, Human Factors, Data Analytics, Queues and Chains, and Linear Programming. The course will focus on two-dimensional, i.e., bivariate, examples where the problems and methods are amenable to visualization and geometric intuition.  The course will discuss applications such as dieting, scheduling, and transportation. This course will not require pre-requisites and will present the core concepts in a self-contained manner that is accessible to Freshmen to provide the foundation for future coursework. 	Industrial Eng & Ops Rsch	Industrial Eng & Ops Rsch 66 IND ENG66
Arch 39	Freshman/Sophomore Seminar	Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. 	Architecture	Architecture 39 ARCH39
Linguis 3	Linguistic Diversity	Over six weeks, students will explore the common structures and enormous variability observed in human languages. We will introduce elements of basic linguistic description at the level of phonetics, phonology, morphology, syntax, and semantics, and use them to compare, contrast, and classify the languages of the world. Students enrolled in the course will benefit from critically examining preconceptions about language in its many forms. 	Linguistics	Linguistics 3 LINGUIS3
Film 181	Game Design Methods	The course explores the art and craft of writing a feature-length narrative screenplay. Participants begin with a detailed outline of a narrative script and a portion of the script in proper form and develop it into a completed screenplay. The focus is on rewriting, with regular presentations of scenes to fellow writers. Participants also write short scripts and explore alternative story structure. The emphasis is on characterization, scene structure, visual story telling, dialogue, and creating a unified script. The class culminates with reading of completed scripts. 	Film	Film 181 FILM181
Russian 103a	Advanced Russian	Course covers three main aspects of advanced Russian: grammar, syntax, and reading. Grammar is reviewed. Course taught in Russian. 	Russian	Russian 103A RUSSIAN103A
Vis sci 260a	Optical and Neural Limits to Vision	  The course will provide an overview of the early stage limits to human vision, from the eye’s optics to sampling and processing in the retina. Students will learn basic optical properties of the eye as well as objective and subjective techniques on how to measure limits of human vision. The class will comprise a combination of lectures and active learning by the students in the form of a project, to be presented at the end of the semester. This is one of the four courses that form the Vision Science core curriculum.	Vision Science	Vision Science 260A VIS SCI260A
Ugis c196a	UCDC Core Seminar	This course is the UCDC letter-graded core seminar for 4 units that complements the P/NP credited internship course UGIS C196B. Core seminars are designed to enhance the experience of and provide an intellectual framework for the student's internship. UCDC core seminars are taught in sections that cover various tracks such as the Congress, media, bureaucratic organizations and the Executive Branch, international relations, public policy and general un-themed original research. 	UGIS-UG Interdisc Studies	UGIS-UG Interdisc Studies C196A UGISC196A
Czech 116a	Continuing Czech	Sequence begins fall semester. 	Czech	Czech 116A CZECH116A
English 179	Literature and Linguistics	Study of the English language as a medium for literature. Topics may include rhyme, alliteration, meter, poetic syntax, metaphor, irony, the language of point of view, narrative tense, orality, literacy, etc. 	English	English 179 ENGLISH179
Anthro 280c	Seminars in Area Studies: South Asia	Courses will vary from year to year. See Departmental Internal Catalogue for detailed descriptions of course offerings for each semester. 	Anthropology	Anthropology 280C ANTHRO280C
Chem 253c	Materials Chemistry III	Introduction to surface catalysis, organic solids, and nanoscience. Thermodynamics and kinetics of solid state diffusion and reaction will be covered. 	Chemistry	Chemistry 253C CHEM253C
Mba 236i	Fixed Income	This course first surveys the basics of fixed income: terminology, security types, debt and money markets. Attention then moves to the valuation of cash flows, term structure of interest rates and modeling of credit risk. Building on that foundation, the course then examines the key role that fixed income plays in the global financial system, other asset classes and derivatives. The course is firmly grounded in a quantitative and analytical approach, with each topic placed in the relevant real world context -- for example, the role that high yield securities play in an LBO, and negotiation of bond covenants. The course is at the more quantitative end of the MBA curriculum, with a large focus on bond math, including duration and convexity.	Business Admin-MBA	Business Admin-MBA 236I MBA236I
Histart 281	Seminar in 19th-Century Art		History of Art	History of Art 281 HISTART281
Arch 159	Seminar on Structures and Construction	Special topics such as building performance, production and materials. For current section offerings see departmental announcement. 	Architecture	Architecture 159 ARCH159
Sts c250	Science and Technology Studies Research Seminar	This course will cover methods and approaches for students considering professionalizing in the field of STS, including a chance for students to workshop written work. 	Science & Tech Studies	Science & Tech Studies C250 STSC250
Physics 297	Careers for Physical Science PhDs	This course exposes graduate students and postdocs in the physical sciences to non-academic careers. Each session hosts speakers who have transitioned from a PhD in the physical sciences to a variety of industries, including data science, quantitative finance, software/hardware engineering, consulting, and more.	Physics	Physics 297 PHYSICS297
Pub pol c285	Nuclear Security: The Nexus Between Policy and Technology	The course will review the origins and evolution of nuclear energy, how it has been applied for both peaceful and military purposes, and the current and prospective challenges it presents. The purpose of the course is to educate students on the policy roots and technological foundations of nuclear energy and nuclear weapons so they are positioned to make original contributions to the field in their scholarly and professional careers. 	Public Policy	Public Policy C285 PUB POLC285
Chem 251b	Coordination Chemistry II	Synthesis, structure analysis, and reactivity patterns in terms of symmetry orbitals. 	Chemistry	Chemistry 251B CHEM251B
Pb hlth 271c	Toxicology II	The course covers monitoring, control and regulatory policy of microbial, chemical and radiological drinking water contaminants.  Additional subjects include history and iconography of safe water, communicating risks to water consumers and a bottled water versus tap water taste test as part of the discussion on aesthetic water quality parameters.	Public Health	Public Health 271C PB HLTH271C
Civ eng 268s	Buildings and Sustainability	"Overview of what makes buildings and their systems “green” and “sustainable,"" and analysis throughout their life cycle (design, materials, construction, operation, maintenance, renovation, end of life) and in interaction with infrastructure systems (energy, transportation, water, waste management), the economy, natural environment, society. Innovative approaches, expectations for future developments. Cost-benefit analysis.  Life-cycle management. Net-zero buildings. Case studies. "	Civil & Environmental Eng	Civil & Environmental Eng 268S CIV ENG268S
S asian c215a	Readings in Indian Buddhist Texts	This graduate seminar focuses on reading a wide spectrum of Indian Buddhist texts in the Sanskrit (or Pali) original introducing the students to different genres, and different aspects of Indian Buddhism. The students taking the course for two units (rather than four) will be expected to prepare thoroughly every week for the reading of Buddhist texts in the original. They will also be expected to read all related secondary literature that is assigned to supplement the study of the primary source material. In contrast to the students taking the course for four units, they will not be expected to write a term paper or to prepare special presentations for class. 	South Asian	South Asian C215A S ASIANC215A
Turkish 100b	Intermediate Modern Turkish	Sequence begins Fall. 	Turkish	Turkish 100B TURKISH100B
Pol sci 149f	Special Topics in Area Studies	See department web site for specific course offerings. 	Political Science	Political Science 149F POL SCI149F
Mcellbi 239w	Research Review in Cell and Developmental Biology: Leech Embryology and Development	Review of current literature and discussion of original research. 	Molecular & Cell Biology	Molecular & Cell Biology 239W MCELLBI239W
Psych 222	Consciousness	Survey of psychological, philosophical, and neuroscientific approaches to consciousness. Introspection. The mind-body problem. Automaticity. Explicit-implicit dissociations in memory, perception, and thought. Implicit emotion and motivation. Sleep and dreams. Anesthesia and coma. Hypnosis. Meditative states. Consciousness in nonhuman animals and computing machines. 	Psychology	Psychology 222 PSYCH222
Educ 413c	School-Based Internship in School Psychology	Supervised assignment to a school district in capacity of school psychologist. 	Education	Education 413C EDUC413C
History 158a	Modern Europe: Old Regime and Revolutionary Europe, 1715-1815	"The eighteenth century in Europe witnessed a series of ""revolutions""--intellectual, political, and to a lesser extent, social and economic--that together constitute the birth rites of modern European society and culture. Historians collectively agree that the Enlightenment, the French Revolution, and the European expansion of Napoleonic France were events of world-historical significance, yet the causes and precise meaning of these events are the subjects of substantial disagreement. We will study the transformations of the eighteenth century that announced our modern world, and we will also try to make sense of the different ways that historians disagree about the meaning of what happened. "	History	History 158A HISTORY158A
Slavic 281	Proseminar: Aims and Methods of Literary Scholarship	Course designed for new graduate students in literature. Introduction to modern literary theory and criticism; principles of textual analysis; methods of bibliographical research. 	Slavic Languages & Lit	Slavic Languages & Lit 281 SLAVIC281
Mcellbi 259i	Research Review in Immunology: Regulation of Lymphocyte Development	Molecular mechanisms involved in the synergistic relationship between V(D)J recombination and lymphocyte development/function. 	Molecular & Cell Biology	Molecular & Cell Biology 259I MCELLBI259I
Italian 163	Special Topics in Italian Literature	The course will study Italian culture from the perspective of literary discourse in its responses to a broad spectrum of cultural, ideological, and institutional forces. Taught in English or Italian. 	Italian Studies	Italian Studies 163 ITALIAN163
Anthro c146	Mobile City Chronicles: Gaming with New Technologies of Detection and Security	"This course studies the city through cases of 19th and 21st century urban detection, including detective fiction, epidemiology, urban planning, surveillance, ethnography, and related technologies. Students develop and playtest cellphone games that in turn require players to investigate cities. This ""gaming the city"" uses smart phones not only to read existing databases but also to write to them, producing new urban practice and knowledge. The course is organized as a research and game lab. "	Anthropology	Anthropology C146 ANTHROC146
Jewish 39e	Freshman and Sophomore Seminar	Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. 	Jewish Studies	Jewish Studies 39E JEWISH39E
Com lit 112b	Modern Greek Composition	Modern Greek pronunciation, vocabulary, grammar and syntax studied. The forms of writing (prose, poetry, drama) are studied through literary texts as auxiliary to the acquisition of compositional skills. 	Comparative Literature	Comparative Literature 112B COM LIT112B
Portug 12	Elementary Portuguese	Continuation of Portuguese 11. Not open to students who have taken Portuguese 101 or equivalent, nor to native speakers. Completion of this course qualifies students for Portuguese 8, 25, or 102. 	Portuguese	Portuguese 12 PORTUG12
Italian 215	Seminar in Renaissance Literature and Culture	Investigation of major topics, genres, and authors in Italian literature and culture of the 15th and 16th centuries. 	Italian Studies	Italian Studies 215 ITALIAN215
Educ 277b	Systemic Educational Reform II	This is the second of three courses connected to the thematic area Systemic Educational Reform: theory, policy, and practice, and is intended for second-year students in the UC Berkeley/CSU Joint Doctoral Program on Leadership for Educational Equity (JDP). The purpose of this course is to examine the theoretical assumptions and empirical evidence related to the capacity of school districts to promote educational effectiveness across geographically distributed educational settings, including schools, after-school educational interventions, professional development programs, and the like. 	Education	Education 277B EDUC277B
Amerstd 182g	Alcatraz: Conquest, Containment, and Contestation	Against the backcloth of Alcatraz, we will explore historical and contemporary iterations of power brought to life by questions of memory, punishment, and liberation. 	American Studies	American Studies 182G AMERSTD182G
Eps 84	Sophomore Seminar	Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores. 	Earth & Planetary Science	Earth & Planetary Science 84 EPS84
English 116	Backgrounds of English Literature in the Continental Renaissance	A survey of the principal continental documents which are important to an understanding of the English Renaissance. 	English	English 116 ENGLISH116
Pol sci 244a	Analysis of Contemporary China	This is the first in a two-semester sequence designed to provide the incoming graduate student with a basic grounding in the politics of contemporary China. The focus will be on wide reading and comprehension of the available analytical literature; its sequel will be devoted to integrating that reading with primary source research materials. There are no prerequisites, though undergraduate course work in Chinese politics and/or some acquaintance with the Chinese language would be useful. 	Political Science	Political Science 244A POL SCI244A
Jewish 39f	Freshman and Sophomore Seminar	Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. 	Jewish Studies	Jewish Studies 39F JEWISH39F
Greek 105	The Greek New Testament	Readings in the Gospels and/or Acts and/or Epistles. 	Greek	Greek 105 GREEK105
Arch 123	2-D Computer Technology	The course provides students with practical hands-on experience in using professional architectural drafting software (e.g., Autocad). The course covers the process of creating, manipulating, and communicating through digital drawings. 	Architecture	Architecture 123 ARCH123
Math 278	Topics in Analysis	Advanced topics chosen by the instructor. The content of this course changes, as in the case of seminars. 	Mathematics	Mathematics 278 MATH278
Pb hlth 219d	Social and Behavioral Health Research: Introduction to Survey Methods	This course provides students with a thorough tool kit for designing survey questionnaires and for implementing telephone, face-to-face, and mail surveys. The three-hour weekly class sessions are designed to convey practical knowledge, with a case study approach used to complement each topical lecture. An SPSS laboratory is also given each semester. The course is an elective for Health and Social Behavior students, and many from the multidisciplinary program and other tracks in the school (including UCSF, e.g., nurses in their Ph.D. programs) have often enrolled as well. By the end of the semester, students will have designed, as their class project, a research project including a study design rationale, aims and hypotheses, data collection methods and measures, human subjects consent form, codebook and analysis plan. 	Public Health	Public Health 219D PB HLTH219D
Phdba 279a	Institutions, Interest Groups and Public Policy	Surveys recent literature on public decision-making in government institutions, emphasizing a systematic framework for evaluating questions of public policy formation. Explores the new institutionalism in political science, applies the methods of rational choice theory to political problems, and links relevant theoretical and empirical literatures in economics and political science. Considers implications of public choice for corporate strategy and business-government relations. 	Business Admin-PhD	Business Admin-PhD 279A PHDBA279A
German 201b	Major Periods in German Literature	Recommended for M.A. candidates. Variable topic. 	German	German 201B GERMAN201B
Japan 24	Freshman Seminar	The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. 	Japanese	Japanese 24 JAPAN24
Ea lang 107	War, Empire, and Literature in East Asia	"This course will examine war, empire, and the writing and memorialization of history through an eclectic group of literary, graphic, and cinematic texts from China, Japan, Europe, and the U.S. We will begin by examining crucial issues of imperial power, violence, and historical representation through the lens of the Han dynasty historian Sima Qian's classic accounts of ""terrorism"" in the Warring States period, the rise of the Han empire, and its conflicts with the Hsiung-nu ""barbarians"" to the north. With these earlier examples in mind, we will turn our focus to two crucial conflicts in modern history - the Boxer Uprising of 1899-1900, and the Sino-Japanese War of 1937-1945 - and their diverse representations in a number of different times, places, and media. "	East Asian Languages	East Asian Languages 107 EA LANG107
Slavic 115a	Advanced Polish	Sequence begins fall semester. 	Slavic Languages & Lit	Slavic Languages & Lit 115A SLAVIC115A
Theater 175b	Scenography: Lighting Design for the Theatre	"This is the second of two classes in stage lighting design and execution. In THEATER 175B you will study the design and execution of stage lighting from the visualization of the initial concept through the realization of that concept on stage. The course is divided into four segments. Review the foundational information about stage lighting. Develop a Production Proposal, for  ROMEO & JULIET, analyze the material and present a proposal for a production of R&J. Design a repertory light plot by drafting the plot with VectorWorks Spotlight, a CAD program for stage lighting.
Finally, in the Lighting Project, you will work with the BDP light plot in the Playhouse, creating light cues for music of your choice. 
"	Theater Dance & Perf Stds	Theater Dance & Perf Stds 175B THEATER175B
French 206	Special Topics in French Linguistics	Topics may vary from semester to semester. 	French	French 206 FRENCH206
Mcellbi 239b	Research Review in Cell and Developmental Biology: Regulation of the Cell Cycle	Review of current literature and discussion of original research. 	Molecular & Cell Biology	Molecular & Cell Biology 239B MCELLBI239B
Educ 250d	Language and Identity	Relationship between language as social practice and the construction of individual and collective identity, and its significance in educational contexts. Topics covered include language as embodied practice, language and subjectivity, pedagogy and symbolic control, language learning as mediated action and as the social symbolic construction of identity, writing and textual identity, authorship and voice, language learning memoirs as acts of identity, the politics of recognition, linguistic human rights. 	Education	Education 250D EDUC250D
Theater 66	Special Topics: Theater Arts	Topics vary from semester to semester and have included The Power of Music and Poetry in the Theater; Modern Drama and Theater, 1940 to the Present; Theaters, Tricksters, and Cultural Exchange; Art as Social Action; and The Invisible World (Process Seminar). 	Theater Dance & Perf Stds	Theater Dance & Perf Stds 66 THEATER66
Mba 283	Real Estate Financing	Students will be introduced to the fundamentals of real estate financial analysis, including elements of mortgage financing and taxation. The course will apply the standard tools of financial analysis to specialized real estate financing circumstances and real estate evaluation. 	Business Admin-MBA	Business Admin-MBA 283 MBA283
Math 241	Complex Manifolds	Riemann surfaces, divisors and line bundles on Riemann surfaces, sheaves and the Dolbeault theorem on Riemann surfaces, the classical Riemann-Roch theorem, theorem of Abel-Jacobi. Complex manifolds, Kahler metrics. Summary of Hodge theory, groups of line bundles, additional topics such as Kodaira's vanishing theorem, Lefschetz hyperplane theorem. 	Mathematics	Mathematics 241 MATH241
Korean 172	Gender and Korean Literature	This course examines Korean literature from the fifteenth through the nineteenth centuries through the perspectives of gender. Although the modern discourse of enlightenment in Korea, beginning in the early twentieth century, has been sharply critical of gender inequality in premodern Korea, the gender relations represented in premodern Korean literature are much more complex and dynamic than we might expect. To revise our understanding of gender in premodern Korea, this course seeks to examine how gender is imagined particularly in terms of the body, bodily practice, and theatrical performance. 	Korean	Korean 172 KOREAN172
Latin 117	Elegiac Poetry	Readings in Propertius, Tibullus, and Ovid. 	Latin	Latin 117 LATIN117
Rhetor 155	Rhetoric of Imperialism	Analysis of rhetorical patterns in official and public documents relating to English, French, and German imperial expansion policies in the 19th century; special attention to Middle Eastern and African spheres of interest. 	Rhetoric	Rhetoric 155 RHETOR155
Ugis 162b	Political Science: America and the Arab-Israeli Conflict: Issues in Policy and Diplomacy	Few things have characterized mass culture in the 20th century more consistently and thoroughly than sports. We will look at the phenomenon ubiquitous to all advanced industrial societies where disorganized contests, competitions, and games mutated into what we have come to know as modern team sports. We will see how this transformation was virtually identical in every industrial society and should thus be seen as a fine gauge of modernity.	UGIS-UG Interdisc Studies	UGIS-UG Interdisc Studies 162B UGIS162B
Sociol 197	Field Study in Sociology	Supervised experience relevant to specific aspects of sociology in off-campus organizations. Regular individual meetings with faculty sponsor and written reports required. 	Sociology	Sociology 197 SOCIOL197
History 103h	Proseminar: Problems in Interpretation in the Several Fields of History: Africa	Discussion-oriented seminars designed to give students an intimate but rigorous introduction to a historical topic. Requirements vary, but generally prioritize critical reading, engaged participation, and focused writing assignments. For precise schedule of offerings, consult departmental website for topic information which is viewable at http://history.berkeley.edu/courses	History	History 103H HISTORY103H
Educ 263a	Legal Issues in Educational Practice	Legal structures and practices in Education for teachers and counselors. Teacher, pupil, counselor rights and responsibilities. 	Education	Education 263A EDUC263A
El eng 219b	Logic Synthesis	The course covers the fundamental techniques for the design and analysis of digital circuits. The goal is to provide a detailed understanding of basic logic synthesis and analysis algorithms, and to enable students to apply this knowledge in the design of digital systems and EDA tools. The course will present combinational circuit optimization (two-level and multi-level synthesis), sequential circuit optimization (state encoding, retiming), timing analysis, testing, and logic verification. 	Electrical Engineering	Electrical Engineering 219B EL ENG219B
Anthro 129e	Topical Areas in Archaeology: Household Archeology	This class explores the questions: why study the archaeology of households? How do we define households and how can we identify and study them archaeologically? What research questions, strategies, and methodologies does the archaeological investigation of households entail? How does the study of households contribute to multiscalar approaches for understanding social organization? Why is this important? What are the causes and effects of changing scales of analysis? 	Anthropology	Anthropology 129E ANTHRO129E
Colwrit 9x	English Through Popular Music	This course provides an introductory study of popular music in the U.S. and how it has shaped American culture. Through this course, students will (a) increase their understanding of American cultural history by studying the significant trends and messages of its popular music and (b) develop and apply analytical and linguistic skills for close listening, analysis, synthesis, and oral presentation. A fieldwork component encourages student engagement with the local community and topic.	College Writing Programs	College Writing Programs 9X COLWRIT9X
Tibetan 10a	Intermediate Tibetan	This course, a continuation of 1A-1B (elementary Tibetan), is designed to further develop the student's skills in modern standard Tibetan. The emphasis is on communication skills in vernacular Tibetan, as well as grammar, reading, and writing. 	Tibetan	Tibetan 10A TIBETAN10A
Pol sci 244c	Approaches to Chinese Politics	"This course has three main objectives: to expose students to debates in the study of post-1949 Chinese politics; to consider how research on contemporary China both draws from and informs political science; and to explore characterizations of the Chinese state and state-society relations. Emphasis on questions such as: What can we learn by examining Chinese culture and institutions? Do concepts such as fragmented authoritarianism, neotraditionalism, state ""reach,"" civil society, and corporatism produce insights into the structure and dynamics of Chinese politics? "	Political Science	Political Science 244C POL SCI244C
German 273	Gothic	Study of the linguistic structures of the earliest Germanic dialect with a sizable corpus. Indo-European origins, Germanic relationships, and Gothic as a synchronic construct are considered. 	German	German 273 GERMAN273
Mec eng 281	Methods of Tensor Calculus and Differential Geometry	Methods of tensor calculus and classical differential geometry. The tensor concept and the calculus of tensors, the Riemann-Christoffel tensor and its properties, Riemannian and Euclidean spaces. Geometry of a surface, formulas of Weingarten, and equations of Gauss and Codazzi. 	Mechanical Engineering	Mechanical Engineering 281 MEC ENG281
Psych 230	Proseminar: Clinical Psychology	This course is a review of the history and theory of the field of clinical psychology. The course covers adult and child psychopathology, ethnic minority mental health, culture, and community influences. 	Psychology	Psychology 230 PSYCH230
Rhetor 250	Rhetoric of the Image	A study of the visual image as a mode of discourse, together with an analysis of the terms in which images have been interpreted and criticized. Focus may be on the rhetoric of a particular image or set of images, or on more broadly theoretical writings about image. 	Rhetoric	Rhetoric 250 RHETOR250
Buddstd c140	Readings in Chinese Buddhist Texts	This course is an introduction to the study of medieval Buddhist literature written in classical Chinese. We will read samples from a variety of genres, including early Chinese translations of Sanskrit and Central Asian Buddhist scriptures, indigenous Chinese commentaries, philosophical treatises, and sectarian works, including Chan <gongan> (Zen koans). The course will also serve as an introduction to resource materials used in the study of Chinese Buddhist texts, and students will be expected to make use of a variety of reference tools in preparation for class. Readings in Chinese will be supplemented by a range of secondary readings in English on Mahayana doctrine and Chinese Buddhist history. 	Buddhist Studies	Buddhist Studies C140 BUDDSTDC140
Africam 30b	Elementary Chichewa	This course introduces students to speaking, listening, reading, and writing in Chichewa. Instruction is mixed English and Chichewa. Emphasis is placed on developing student ability to create and to communicate with basic Chichewa structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. This course is not open to native or hertiage speakers of Chichewa.	African American Studies	African American Studies 30B AFRICAM30B
Espm 39c	Freshman/Sophomore Seminar	Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. 	Env Sci, Policy, & Mgmt	Env Sci, Policy, & Mgmt 39C ESPM39C
Cy plan 101	Introduction to Urban Data Analytics	This course (1) provides a basic intro to census and economic data collection, processing, and analysis; (2) surveys forecasting and modeling techniques in planning; (3) demonstrates the uses of real-time urban data and analytics; and (4) provides a socio-economic-political context for the smart cities movement, focusing on data ethics and governance. 	City & Regional Planning	City & Regional Planning 101 CY PLAN101
Mcellbi 249l	Imaging Single Molecules: Fashion or Game Changer?	"Research review in genetics, genomics and development.  We will explore how the detection of single particles
(DNA, RNA, proteins) can help with understanding cellular organization and
enzymatic processes dynamics and kinetics. Most of the experiments
described will be drawn from the gene expression and nuclear organization
literature."	Molecular & Cell Biology	Molecular & Cell Biology 249L MCELLBI249L
Mec eng 151	Advanced Heat Transfer	Basic principles of heat transfer and their application. Subject areas include steady-state and transient system analyses for conduction, free and forced convection, boiling, condensation and thermal radiation.	Mechanical Engineering	Mechanical Engineering 151 MEC ENG151
Ind eng 223	Financial Engineering Systems II	Advanced graduate course for Ph.D. students interested in pursuing a professional/research career in financial engineering. The course will start with a quick review of 222: the basics of Brownian motion, martingales, Ito's calculus, risk-neutral pricing in continuous time models. It then covers rigorously and in depth the most fundamental probability concepts for financial engineers, including stochastic integral, stochastic differential equations, and semi-martingales. The second half of the course will discuss the most recent topics in financial engineering, such as credit risk and analysis, risk measures and portfolio optimization, and liquidity risk and models. 	Industrial Eng & Ops Rsch	Industrial Eng & Ops Rsch 223 IND ENG223
Greek 122	Attic Oratory	Readings in oratory. 	Greek	Greek 122 GREEK122
Ind eng 258	Control and Optimization for Power Systems	One of the grand challenges of this century is the modernization of electrical power networks. This graduate-level course provides a fundamental understanding of the mathematics behind the operation of power grids.	Industrial Eng & Ops Rsch	Industrial Eng & Ops Rsch 258 IND ENG258
German 265	Film Theory:  Historical and Systematic Perspectives	<Formerly 260C.> This seminar will examine traditional and recent critical approaches to the study of film. Knowledge of German and background in literary theory required. 	German	German 265 GERMAN265
History 39r	Freshman Sophomore Seminar	Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. 	History	History 39R HISTORY39R
S asian 128	Religious Identities in South Asia	This course considers the co-option, reinterpretation and dissemination of sacred texts and religious practices in various political and cultural projects in India during the colonial and post-colonial periods. Students will be introduced to religious “reform” movements, cross-cultural debates during the colonial period, and how the concept of a secular state in post-Independence India has shaped and continues to shape religious practice and public policy. Important themes include transformations in the role of women, debates around caste and “untouchability”, and religious conversions. Although the emphasis is on Hindu traditions, attention will also be given to other Indian traditions such as Islam, Christianity and Buddhism.	South Asian	South Asian 128 S ASIAN128
Colwrit 5d	English Language Studies:  Literature	Literature offers wonderful opportunities to understand societal and interpersonal conflicts, develop vocabulary, and refine analytical skills. Designed for non-native English speakers, this course engages students in close reading and discussions of conflicts in the literature. Students are expected to read, write, and speak about the texts and themes covered in class. Course includes a fieldwork component. Multiple sections: placement based on Day 1 assessment of interests and needs.	College Writing Programs	College Writing Programs 5D COLWRIT5D
Pb hlth 273	Risk Management: Structure of Environmental Regulation	The course takes a global perspective, examining the environmental phenomena that influence the transmission of infectious diseases. The epidemiological significance of environmental processes are explored, including weather, climate extremes, hydrology, development projects, and land usage change. Analytical tools are discussed and critiqued with respect to their ability to resolve the role of environmental factors in shaping disease distributions and pathogen fate, transport, and persistence.	Public Health	Public Health 273 PB HLTH273
Africam 136	Criminal Justice and the Community		African American Studies	African American Studies 136 AFRICAM136
Hin-urd 104a	Advanced Urdu	Reading of Urdu prose and poetry in a variety of literary and scholarly styles; composition. Topics in advanced grammar; designed to improve proficiency in speaking, listening, reading, and writing. Students will be expected to converse in a clearly participatory fashion, initiate, sustain, and bring to closure a wide variety of communicative tasks using diverse language strategies. 	Hindi-Urdu	Hindi-Urdu 104A HIN-URD104A
Mec eng c278	Adv Designing for the Human Body	The course provides project-based learning experience in understanding product design, with a focus on the human body as a mechanical machine. Students will learn the design of external devices used to aid or protect the body. Topics will include forces acting on internal materials (e.g., muscles and total replacement devices), forces acting on external materials (e.g., prothetics and crash pads), design/analysis of devices aimed to improve or fix the human body, muscle adaptation, and soft tissue injury. Weekly laboratory projects will incorporate EMG sensing, force plate analysis, and interpretation of data collection (e.g., MATLAB analysis) to integrate course material to better understand contemporary design/analysis/problems.	Mechanical Engineering	Mechanical Engineering C278 MEC ENGC278
